Registrar Name;RAA;;;Country;Accredited TLDs
GPDOMAINS Inc.;2009;1;;Canada;.com .info .net .org
In2net Network Inc.;2009;1;;Canada;.asia .biz .com .info .mobi .name .net .org
InvisibleDomains.com Inc.;2009;1;;Canada;.asia .biz .com .info .mobi .name .net .org .pro
ITpan.com Limited;2009;1;;Canada;.biz .com .info .name .net .org .pro
NameTorrent.ca Inc.;2009;1;;Canada;.asia .biz .com .info .mobi .net .org
NJ Tech Solutions Inc. dba Expertsrs.com;2009;1;;Canada;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Pacific Online Inc.;2009;1;;Canada;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Promo People, Inc.;2009;1;;Canada;.biz .com .info .mobi .name .net .org .pro .tel
Rebel.com Corp.;2009;1;;Canada;.aero .asia .biz .com .info .jobs .mobi .museum .name .net .org .pro .xxx
Register.ca Inc.;2009;1;;Canada;.asia .biz .com .info .mobi .net .org .tel
SearchName.ca Inc.;2009;1;;Canada;.asia .biz .com .info .mobi .net .org
Sibername Internet and Software Technologies Inc.;2009;1;;Canada;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Super Registry Inc.;2009;1;;Canada;.asia .biz .com .info .mobi .name .net .org .pro
TheGreatDomain.ca Inc.;2009;1;;Canada;.asia .biz .com .info .mobi .name .net .org .pro
Tucows Domains Inc.;2009;1;;Canada;.asia .biz .com .info .mobi .name .net .org .pro .tel .xxx
Webnames.ca Inc.;2009;1;;Canada;.biz .com .info .mobi .net .org .tel .xxx
Assorted, LTD;2009;1;4;Cayman Islands;.asia .biz .com .info .mobi .name .net .org
iRegistry Corp.;2009;1;;Cayman Islands;.com .net .org .xxx
Uniregistrar Corp;2009;1;;Cayman Islands;.asia .biz .com .info .jobs .mobi .name .net .org .pro .travel .xxx
Vivid Domains, Inc.;2009;1;;Cayman Islands;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
35 Technology Co., Ltd.;2009;1;45;China;.asia .biz .com .info .mobi .name .net .org .pro .tel
Beijing Guoxu Network Technology Co., Ltd.;2009;1;;China;.asia .biz .com .coop .info .mobi .net .org .tel .travel
Beijing Innovative Linkage Technology Ltd. dba dns.com.cn;2001;1;;China;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Beijing RITT - Net Technology Development Co., Ltd;2009;1;;China;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Beijing Sanfront Information Technology Co., Ltd;2009;1;;China;.com .net .org
Beijing Tong Guan Xin Tian Technology Ltd (Novaltel);2009;1;;China;.com .net .tel
Beijing Wangzun Technology Co., Ltd.;2009;1;;China;.asia .biz .com .info .mobi .name .net .org
Bizcn.com, Inc.;2009;1;;China;.asia .biz .com .info .mobi .name .net .org .pro .tel
