Registrar Name;RAA;;;Country;Accredited TLDs
Jungbonet Co., Ltd;2009;1;;Korea (South);.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
KINX Co., Ltd.;2009;1;;Korea (South);.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Korea Information Certificate Authority, Inc. d/b/a DomainCA.com;2009;1;;Korea (South);.asia .biz .com .info .name .net .org .pro
Korea Server Hosting Inc.;2009;1;;Korea (South);.com .net
Koreacenter.com co., Ltd.;2009;1;;Korea (South);.asia .biz .com .info .mobi .name .net .org .tel
Megazone Corp., dba HOSTING.KR;2009;1;;Korea (South);.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Netpia.com, Inc.;2009;1;;Korea (South);.asia .biz .com .info .name .net .org .pro
Samjung Data Service Co., Ltd;2009;1;;Korea (South);.biz .com .info .name .net .org .pro
WHT Co., Ltd;2009;1;;Korea (South);.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Yesnic Co., Ltd.;2009;1;;Korea (South);.asia .biz .com .info .mobi .name .net .org .pro .tel .xxx
KuwaitNET General Trading Co.;2009;1;1;Kuwait;.asia .biz .com .info .mobi .name .net .org .pro
Fiducia LLC, Latvijas Parstavnieciba;2001;1;1;Latvia;.biz .com .info .net .org
documentdata Anstalt;2009;1;1;Liechtenstein;.aero .asia .biz .com .info .jobs .mobi .museum .name .net .org .tel .travel
Hostinger, UAB;2009;1;2;Lithuania;.asia .biz .com .info .mobi .name .net .org .pro .xxx
Kaunas University of Technology, Information Technology Development Institute dba Domreg.lt;2009;1;;Lithuania;.com .info .net .org
eBrand Services S.A.;2009;1;2;Luxembourg;.com
EuroDNS S.A.;2009;1;;Luxembourg;.asia .biz .com .coop .info .mobi .net .org .pro .tel .travel .xxx
IPXcess.com Sdn Bhd;2009;1;2;Malaysia;.biz .com .info .name .net .org .pro
Web Commerce Communications Limited dba WebNic.cc;2009;1;;Malaysia;.asia .biz .com .info .mobi .name .net .org .tel .travel .xxx
Internet Networks S.A. De C.V.;2001;1;3;Mexico;.com .net
Interplanet, S.A. de C.V.;2001;1;;Mexico;.biz .com .info .name .net .org .pro
Neubox Internet S.A. de C.V.;2009;1;;Mexico;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Namebay SAM;2009;1;1;Monaco;.aero .asia .biz .com .info .mobi .name .net .org .pro .tel .travel .xxx
Genious Communications SARL/AU;2009;1;1;Morocco;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Domain Services Rotterdam BV;2001;1;11;Netherlands;.biz .com .net
Hosting Concepts B.V. d/b/a Openprovider;2009;1;;Netherlands;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Mijn InternetOplossing B.V.;2009;1;;Netherlands;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Mijndomein.nl BV;2009;1;;Netherlands;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Networking4all B.V.;2009;1;;Netherlands;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
OpenTLD B.V.;2009;1;;Netherlands;.asia .biz .cat .com .coop .info .jobs .mobi .name .net .org .pro .tel .xxx
Porting Access B.V.;2001;1;;Netherlands;.mobi .tel
Realtime Register B.V.;2009;1;;Netherlands;.aero .asia .biz .cat .com .info .jobs .mobi .name .net .org .pro .tel .travel .xxx
Today ISP BV;2009;1;;Netherlands;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
TransIP B.V.;2009;1;;Netherlands;.com .net
Virtual Registrar, Inc.;2009;1;;Netherlands;.biz .com .info .name .net .org .pro
Gesloten Domain N.V.;2009;1;1;Netherlands Antilles;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Domainz Limited;2009;1;3;New Zealand;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Pacnames Ltd;2009;1;;New Zealand;.biz .com .info .name .net .org .pro
Web Drive Ltd.;2009;1;;New Zealand;.asia .biz .com .info .mobi .name .net .org .tel .travel .xxx
Active 24 AS;2009;1;2;Norway;.biz .cat .com .info .mobi .name .net .org .pro .travel
Domeneshop AS dba domainnameshop.com;2009;1;;Norway;.asia .biz .com .info .mobi .name .net .org
Paknic (Private) Limited;2009;1;1;Pakistan;.asia .biz .com .info .mobi .name .net .org .pro .tel
URL Solutions, Inc.;2009;1;2;Panama;.asia .biz .com .info .mobi .name .net .org .tel .travel .xxx
Vigson, Inc.;2009;1;;Panama;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
ABSYSTEMS INC dba yournamemonkey.com;2009;1;2;Philippines;.biz .com .info .name .net .org .pro
HOAPDI INC.;2009;1;;Philippines;.com .info .net
AZ.pl, Inc.;2009;1;3;Poland;.asia .biz .com .info .name .net .org .pro .tel
Home.pl S.A.;2009;1;;Poland;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
NetArt Registrar Sp. z o.o.;2009;1;;Poland;.biz .com .info .net .org
CJSC Registrar R01;2009;1;6;Russian Federation;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
DomReg Ltd. d/b/a LIBRIS.COM;2009;1;;Russian Federation;.biz .com .info .net .org
"LLC ""Registrar of domain names REG.RU""";2009;1;;Russian Federation;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Nicco Ltd.;2009;1;;Russian Federation;.biz .com .info .net .org
Regional Network Information Center, JSC dba RU-CENTER;2009;1;;Russian Federation;.aero .asia .biz .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Regtime Ltd.;2009;1;;Russian Federation;.aero .asia .biz .cat .com .info .jobs .mobi .name .net .org .pro .travel .xxx
Kheweul.com SA;2009;1;1;Senegal;.biz .com .info .name .net .org .pro .tel
Active Registrar, Inc.;2009;1;2;Singapore;.asia .biz .com .info .mobi .name .net .org
IP Mirror Pte Ltd dba IP MIRROR;2009;1;;Singapore;.asia .biz .com .info .jobs .mobi .name .net .org .pro .tel .travel .xxx
Diamatrix C.C.;2009;1;2;South Africa;.biz .com .info .mobi .name .net .org
Internet Solutions (Pty) Ltd.;2009;1;;South Africa;.biz .com .net .org
10dencehispahard, S.L.;2009;1;12;Spain;.aero .asia .biz .cat .com .coop .info .mobi .museum .name .net .org .pro .tel .travel .xxx
Abansys & Hostytec, S.L.;2009;1;;Spain;.biz .cat .com .info .mobi .name .net .org .pro
Acens Technologies, S.L.U.;2009;1;;Spain;.biz .cat .com .info .mobi .name .net .org .pro .tel
AllGlobalNames, S.A. dba Cyberegistro.com;2009;1;;Spain;.biz .cat .com .info .name .net .org .pro
Arsys Internet, S.L. dba NICLINE.COM;2009;1;;Spain;.biz .cat .com .info .mobi .name .net .org .pro .tel
Dinahosting s.l.;2009;1;;Spain;.biz .cat .com .info .mobi .name .net .org .tel .xxx
Entorno Digital, S.A.;2009;1;;Spain;.asia .biz .cat .com .info .mobi .net .org .tel .xxx
Estrategias WebSite S.L.;2009;1;;Spain;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Interdominios, Inc.;2009;1;;Spain;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Nominalia Internet S.L.;2009;1;;Spain;.aero .biz .cat .com .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Soluciones Corporativas IP, SLU;2009;1;;Spain;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
SW Hosting & Communications Technologies SL dba Serveisweb;2009;1;;Spain;.biz .cat .com .info .name .net .org .pro .tel
AB Name ISP;2009;1;9;Sweden;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
AB RIKTAD;2009;1;;Sweden;.com
AB Svenska Domaner;2009;1;;Sweden;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Binero AB;2009;1;;Sweden;.asia .biz .com .info .mobi .name .net .org .xxx
Domaininfo AB, aka domaininfo.com;2009;1;;Sweden;.asia .biz .com .info .jobs .mobi .name .net .org .pro .tel .xxx
Ilait AB;2009;1;;Sweden;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Nictrade Internet Identity Provider AB;2009;1;;Sweden;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Nordreg AB;2009;1;;Sweden;.biz .com .info .mobi .name .net .org
Premium Registrations Sweden AB;2009;1;;Sweden;.biz .com .info .name .net .org .pro
CADiware AG;2009;1;3;Switzerland;.biz .com .coop .info .name .net .org .pro
camPoint AG;2009;1;;Switzerland;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
CORE Internet Council of Registrars;2009;1;;Switzerland;.aero .asia .biz .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Net-Chinese Co., Ltd.;2009;1;1;Taiwan;.aero .asia .biz .com .info .mobi .name .net .org .pro .tel .travel .xxx
DotArai Co., Ltd.;2009;1;1;Thailand;.asia .biz .com .info .mobi .name .net .org .tel
Aerotek Bilisim Taahut Sanayi Ve Ticaret Ltd Sti.;2009;1;8;Turkey;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Alantron Bili_im Ltd _ti.;2009;1;;Turkey;.biz .com .info .name .net .org .pro
Atak Tercume Teknoloji Yayincilik Bilgisayar Ins. Gida San. ve Tic. Ltd. Sti. d/b/a Atak Teknoloji;2009;1;;Turkey;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
FBS Inc.;2009;1;;Turkey;.asia .biz .com .info .mobi .name .net .org
Ground Internet, Inc.;2009;1;;Turkey;.biz .com .info .name .net .org .pro
IHS Telekom, Inc.;2009;1;;Turkey;.biz .com .info .mobi .name .net .org .tel
Nics Telekomünikasyon Ticaret Ltd. _ti.;2009;1;;Turkey;.asia .biz .com .info .mobi .name .net .org .tel
Reg2C.com Inc.;2009;1;;Turkey;.asia .biz .com .info .mobi .name .net .org .pro .tel
Center of Ukrainian Internet Names (UKRNAMES);2009;1;2;Ukraine;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Internet Invest, Ltd. dba Imena.ua;2009;1;;Ukraine;.biz .com .info .mobi .net .org
Crazy Domains FZ-LLC;2009;1;3;United Arab Emirates;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
dm3 Digital Media Marketing and Monitoring FZ-LLC;2009;1;;United Arab Emirates;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
DreamScape Networks FZ-LLC;2009;1;;United Arab Emirates;.aero .asia .biz .cat .com .info .jobs .mobi .name .net .org .pro .tel .travel .xxx
Astutium Limited;2009;1;20;United Kingdom;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
BB Online UK Limited;2009;1;;United Kingdom;.asia .biz .com .info .mobi .name .net .org .tel .xxx
Demys Limited;2009;1;;United Kingdom;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Discount Domains Ltd.;2009;1;;United Kingdom;.biz .com .info .name .net .org .pro
Domainbox Limited;2009;1;;United Kingdom;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Domainmonster Limited;2009;1;;United Kingdom;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Easyspace Limited;2009;1;;United Kingdom;.asia .biz .com .info .jobs .mobi .name .net .org .pro .tel .travel .xxx
Freeparking Domain Registrars, Inc.;2009;1;;United Kingdom;.biz .com .info .name .net .org .pro
Internetters Limited;2009;1;;United Kingdom;.asia .biz .com .info .name .net .org .pro
LCN.COM Ltd.;2009;1;;United Kingdom;.biz .com .info .mobi .net .org .tel
Lexsynergy Limited;2009;1;;United Kingdom;.aero .asia .biz .cat .com .coop .info .jobs .mobi .name .net .org .pro .tel .travel .xxx
LiquidNet Ltd.;2009;1;;United Kingdom;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Mesh Digital Limited;2009;1;;United Kingdom;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
NetEarth One Inc. d/b/a NetEarth;2009;1;;United Kingdom;.asia .biz .com .info .name .net .org .pro .tel
Nom-iq Ltd. dba COM LAUDE;2009;1;;United Kingdom;.asia .biz .com .info .mobi .name .net .org .pro .tel .xxx
SafeNames Ltd.;2009;1;;United Kingdom;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
The Midcounties Co-operative Limited dba domains.coop;2009;1;;United Kingdom;.biz .com .coop .info .name .net .org .pro
TLD Registrar Solutions Ltd.;2009;1;;United Kingdom;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Total Web Solutions Limited trading as TotalRegistrations;2009;1;;United Kingdom;.asia .biz .com .info .mobi .name .net .org .pro .tel
Webfusion Ltd.;2009;1;;United Kingdom;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
! #1 Host Australia, Inc.;2009;1;602;United States;.biz .com .info .name .net .org .pro
! #1 Host Canada, Inc.;2009;1;;United States;.biz .com .info .name .net .org .pro
! #1 Host China, Inc.;2009;1;;United States;.biz .com .info .name .net .org .pro
! #1 Host Germany, Inc.;2009;1;;United States;.aero .biz .com .info .name .net .org .pro
! #1 Host Israel, Inc.;2009;1;;United States;.biz .com .info .name .net .org .pro
! #1 Host Japan, Inc.;2009;1;;United States;.biz .com .info .name .net .org .pro
! #1 Host Korea, Inc.;2009;1;;United States;.biz .com .info .name .net .org .pro
! AlohaNIC LLC;2009;1;;United States;.biz .com .info .mobi .name .net .org .pro .tel
#1 Internet Services International, Inc. dba 1ISI;2009;1;;United States;.biz .com .info .name .net .org .pro
"$$$ Private Label Internet Service Kiosk, Inc. (dba ""PLISK.com"")";2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel
007Names, Inc.;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
1 Domain Source Ltd. dba Domain One Source, Inc.;2009;1;;United States;.biz .com .info .name .net .org .pro
1 More Name, LLC;2009;1;;United States;.biz .com .info .name .net .org .pro
1-877NameBid.com LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
101domain, Inc.;2009;1;;United States;.aero .asia .biz .com .info .jobs .mobi .name .net .org .pro .tel .travel .xxx
123domainrenewals, LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
1800-website, LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
1st-for-domain-names, LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
2030138 Ontario Inc. dba NamesBeyond.com and dba GoodLuckDomain.com;2009;1;;United States;.aero .asia .biz .com .coop .info .jobs .mobi .name .net .org .pro .tel .travel .xxx
24x7domains, LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
995discountdomains, LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
A Technology Company, Inc.;2009;1;;United States;.biz .com .info .mobi .name .net .org .pro
About Domain Dot Com Solutions Pvt. Ltd. d/b/a www.aboutdomainsolutions.com;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
AccentDomains LLC;2009;1;;United States;.com .net
Add2Net Inc.;2009;1;;United States;.biz .com .info .name .net .org .pro
Address Creation, LLC;2009;1;;United States;.biz .com .info .mobi .name .net .org
Addressontheweb, LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Adomainofyourown.com LLC;2009;1;;United States;.biz .com .info .net .org
Advanced Internet Technologies, Inc. (AIT);2009;1;;United States;.asia .biz .com .info .name .net .org
Afterdark Domains, Incorporated;2009;1;;United States;.biz .com .info .name .net .org .pro
Aim High!, Inc.;2009;1;;United States;.biz .com .info .net .org .pro
Alfena, LLC;2009;1;;United States;.asia .biz .com .info .mobi .name .net .org .pro
Alice's Registry, Inc.;2009;1;;United States;.biz .com .info .name .net .org .pro
Allaccessdomains, LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Alldomains, LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Allearthdomains.com LLC;2009;1;;United States;.biz .com .info .net .org
Allworldnames.com LLC;2009;1;;United States;.biz .com .info .net .org
Amazon Registrar, Inc.;2009;1;;United States;.biz .com .info .net .org
Anessia Inc.;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Annulet Incorporated;2009;1;;United States;.aero .asia .biz .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Anytime Sites, Inc.;2009;1;;United States;.biz .com .info .name .net .org .pro
Arab Internet Names, Incorporated;2009;1;;United States;.biz .com .info .name .net .org .pro
Argo Technologies LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
AsiaDomains, Incorporated;2009;1;;United States;.biz .com .info .name .net .org .pro
AtlanticDomains, LLC;2009;1;;United States;.com .net
AtlanticFriendNames.com LLC;2009;1;;United States;.biz .com .info .net .org
Atomicdomainnames.com LLC;2009;1;;United States;.biz .com .info .net .org
Atozdomainsmarket, LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Austriadomains, LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Austriandomains, LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Autica Domain Services Inc.;2009;1;;United States;.biz .com .info .name .net .org .pro
Automattic Inc.;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Azdomainz, LLC;2009;1;;United States;.biz .com .info .name .net .org .pro .tel
Azprivatez, LLC;2009;1;;United States;.biz .com .info .name .net .org .pro .tel
BackorderZone.com, Inc.;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Backslap Domains, Inc.;2009;1;;United States;.com .net
Badger Inc.;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Baronofdomains.com LLC;2009;1;;United States;.biz .com .info .net .org
Basic Fusion, Inc.;2009;1;;United States;.biz .com .info .net .org
Beartrapdomains.com LLC;2009;1;;United States;.biz .com .info .net .org
Belmontdomains.com LLC;2009;1;;United States;.biz .com .info .net .org
Betterthanaveragedomains.com LLC;2009;1;;United States;.biz .com .info .net .org
Bidfordomainnames, LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Big Domain Shop, Inc.;2009;1;;United States;.com .net
Big House Services, Inc.;2009;1;;United States;.biz .com .info .mobi .name .net .org .pro
Biglizarddomains.com LLC;2009;1;;United States;.biz .com .info .net .org
Blisternet, Incorporated;2009;1;;United States;.com .net .org
Blue Fractal, Inc.;2009;1;;United States;.biz .com .info .mobi .name .net .org .pro
Blue Razor Domains, LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
BraveNames Inc.;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Briarwood Technologies Inc.;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
BullRunDomains.com LLC;2009;1;;United States;.biz .com .info .net .org
Burnsidedomains.com LLC;2009;1;;United States;.biz .com .info .net .org
Canyon gate Holdings LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Capitaldomains, LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Catalog.com;2009;1;;United States;.biz .com .info .mobi .name .net .org .pro .tel
Cheap-Registrar.com, LLC;2001;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Chinesedomains, LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Chocolatecovereddomains,LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Christian Investments LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Claimeddomains, LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Click Registrar, Inc. d/b/a publicdomainregistry.com;2009;1;;United States;.asia .biz .com .info .mobi .net .org
Cocosislandsdomains, LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Columbiadomains, LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Columbianames.com LLC;2009;1;;United States;.biz .com .info .net .org
Commerce Island, Inc.;2009;1;;United States;.biz .com .info .name .net .org .pro
Compuglobalhypermega.com LLC;2009;1;;United States;.biz .com .info .net .org
Cool Ocean, Inc.;2009;1;;United States;.biz .com .info .mobi .name .net .org
Crisp Names, Inc.;2009;1;;United States;.biz .com .info .name .net .org .pro
Crystal Coal, Inc.;2009;1;;United States;.asia .biz .com .info .mobi .net .org
CSC Corporate Domains, Inc.;2009;1;;United States;.asia .biz .com .info .mobi .name .net .org .pro .tel .xxx
Curious Net, Inc.;2009;1;;United States;.asia .biz .com .info .mobi .net .org
Dagnabit, Incorporated;2009;1;;United States;.com .net .org
DanCue Inc.;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Decentdomains, LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Deerwood Investments LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Department-of-domains, LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Deschutesdomains.com LLC;2009;1;;United States;.biz .com .info .net .org
Desert Devil, Inc.;2009;1;;United States;.biz .com .info .mobi .name .net .org .pro
Deutchdomains, LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Dharana Domains Inc.;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Diggitydot, LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Discountdomainservices, LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
DNC Holdings, Inc.;2009;1;;United States;.asia .biz .com .info .mobi .name .net .org .pro .tel .xxx
Domain Band, Inc.;2009;1;;United States;.asia .biz .com .info .mobi .net .org
Domain Guardians, Inc.;2009;1;;United States;.biz .com .info .name .net .org .pro
Domain Jamboree, LLC;2009;1;;United States;.biz .com .info .name .net .org .pro
Domain Mantra, Inc.;2009;1;;United States;.asia .biz .com .info .mobi .net .org
Domain Monkeys, LLC;2009;1;;United States;.biz .com .info .name .net .org .pro
Domain Pro, LLC;2009;1;;United States;.biz .com .info .mobi .name .net .org
Domain Registration Services, Inc. dba dotEarth.com;2009;1;;United States;.biz .com .info .mobi .name .net .org .tel
Domain Rouge, Inc.;2009;1;;United States;.biz .com .info .name .net .org .pro
Domain-A-Go-Go, LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Domain-It!, Inc.;2009;1;;United States;.asia .biz .com .info .mobi .name .net .org .pro .tel .xxx
Domain.com, LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
DomainAdministration.com, LLC;2009;1;;United States;.biz .com .info .name .net .org .pro .tel
DomainAhead LLC;2009;1;;United States;.com .net
DomainAllies.com, Inc.;2009;1;;United States;.biz .com .info .name .net .org .pro
Domainamania.com LLC;2009;1;;United States;.biz .com .info .net .org
Domainarmada.com LLC;2009;1;;United States;.biz .com .info .net .org
Domainator.ca Inc.;2009;1;;United States;.asia .biz .com .info .mobi .net .org
Domainbulkregistration, LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Domainbusinessnames, LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Domaincamping, LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Domaincapitan.com LLC;2009;1;;United States;.biz .com .info .net .org
Domainclub.com, LLC;2009;1;;United States;.biz .com .info .net .org
Domaincomesaround.com LLC;2009;1;;United States;.biz .com .info .net .org
DomainContext, Inc.;2009;1;;United States;.asia .biz .com .info .mobi .name .net .org .tel
DomainCritics LLC;2009;1;;United States;.com .net
DomainDelights LLC;2009;1;;United States;.com .net
Domainducks, LLC;2009;1;;United States;.biz .com .info .name .net .org
Domaineered.ca Inc.;2009;1;;United States;.asia .biz .com .info .mobi .net .org
DomainEvent.ca Inc.;2009;1;;United States;.asia .biz .com .info .mobi .net .org
DomainExtreme LLC;2009;1;;United States;.com .net
DomainFalcon LLC;2009;1;;United States;.com .net
Domaingazelle.com LLC;2009;1;;United States;.biz .com .info .net .org
DomainGetter LLC;2009;1;;United States;.com .net
Domainhawks.net LLC;2009;1;;United States;.biz .com .info .net .org
DomainHood LLC;2009;1;;United States;.com .net
Domainhostingweb, LLC;2009;1;;United States;.com .net
Domainhysteria.com LLC;2009;1;;United States;.biz .com .info .name .net .org
Domaininternetname, LLC;2009;1;;United States;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Domaininthebasket.com LLC;2009;1;;United States;.biz .com .info .net .org
Domaininthehole.com LLC;2009;1;;United States;.biz .com .info .name .net .org
Domainjungle.net LLC;2009;1;;United States;.biz .com .info .net .org
